price,time,option,K,T,r,sigma,algo,surrogate_price,hybrid_price,surrogate_error,hybrid_error,surrogate_time,hybrid_time
6.460820742344407,0.31980037689208984,put,100,1.0,0.03,0.2,MC,,,,,,
,,put,100,1.0,0.03,0.2,LightGBM,6.497208755907876,6.409717432634303,0.0363880135634691,0.05110330971010413,0.0,0.04155135154724121
,,put,100,1.0,0.03,0.2,XGBoost,6.316590785980225,6.311491906428527,0.14422995636418268,0.1493288359158802,0.0009987354278564453,0.029551267623901367
,,put,100,1.0,0.03,0.2,CatBoost,6.453376772874621,6.228390717506579,0.007443969469786538,0.2324300248378286,0.002509593963623047,0.02753758430480957
20.99755309474292,0.3797028064727783,put,120,0.5,0.01,0.25,MC,,,,,,
,,put,120,0.5,0.01,0.25,LightGBM,20.880347998517788,21.02734088225869,0.1172050962251312,0.02978778751577238,0.0005025863647460938,0.036550283432006836
,,put,120,0.5,0.01,0.25,XGBoost,21.23068618774414,20.730942141511658,0.23313309300122143,0.26661095323126105,0.0,0.027068614959716797
,,put,120,0.5,0.01,0.25,CatBoost,20.69823976399078,20.67120163840217,0.2993133307521383,0.326351456340749,0.00150299072265625,0.026543140411376953
0.49986102407850663,0.32564592361450195,put,80,2.0,0.05,0.15,MC,,,,,,
,,put,80,2.0,0.05,0.15,LightGBM,0.5221207750264167,0.4912211593204322,0.022259750947910106,0.008639864758074434,0.0,0.03455066680908203
,,put,80,2.0,0.05,0.15,XGBoost,0.552794337272644,0.5013552280011898,0.05293331319413741,0.0014942039226831794,0.0010001659393310547,0.029040098190307617
,,put,80,2.0,0.05,0.15,CatBoost,0.5452828917431296,0.532503007370774,0.04542186766462297,0.03264198329226742,0.0,0.028556108474731445
9.398155546331719,0.3039515018463135,call,100,1.0,0.03,0.2,MC,,,,,,
,,call,100,1.0,0.03,0.2,LightGBM,9.876763592017996,9.28400737331599,0.47860804568627735,0.1141481730157281,0.0010035037994384766,0.03755593299865723
,,call,100,1.0,0.03,0.2,XGBoost,9.229307174682617,9.330714323609682,0.16884837164910138,0.0674412227220369,0.0,0.027538061141967773
,,call,100,1.0,0.03,0.2,CatBoost,9.413239800841957,9.525318940278925,0.015084254510238537,0.12716339394720677,0.0,0.029094934463500977
1.5837069354788587,0.27335619926452637,call,120,0.5,0.01,0.25,MC,,,,,,
,,call,120,0.5,0.01,0.25,LightGBM,1.6330605128014746,1.622038164249359,0.049353577322615916,0.038331228770500436,0.0,0.03605008125305176
,,call,120,0.5,0.01,0.25,XGBoost,1.518117904663086,1.4460899154137539,0.06558903081577272,0.1376170200651048,0.001003265380859375,0.027528047561645508
,,call,120,0.5,0.01,0.25,CatBoost,1.5514764506665255,1.594190654419403,0.03223048481233315,0.01048371894054445,0.0010035037994384766,0.029192686080932617
28.088869217109757,0.2653639316558838,call,80,2.0,0.05,0.15,MC,,,,,,
,,call,80,2.0,0.05,0.15,LightGBM,28.416476653243514,28.525332630343666,0.3276074361337571,0.43646341323390914,0.0,0.03405284881591797
,,call,80,2.0,0.05,0.15,XGBoost,28.747291564941406,27.84986833954799,0.6584223478316495,0.23900087756176802,0.0009996891021728516,0.02954268455505371
,,call,80,2.0,0.05,0.15,CatBoost,27.960243299737066,27.732218033827433,0.12862591737269113,0.3566511832823238,0.00099945068359375,0.02553582191467285
0.5037291630990242,0.33174681663513184,digital,100,1.0,0.03,0.2,MC,,,,,,
,,digital,100,1.0,0.03,0.2,LightGBM,0.4951568699862324,0.502884875484837,0.008572293112791785,0.0008442876141872002,0.0,0.040045738220214844
,,digital,100,1.0,0.03,0.2,XGBoost,0.4970066249370575,0.5048257963542564,0.006722538161966662,0.0010966332552322378,0.0010008811950683594,0.027229785919189453
,,digital,100,1.0,0.03,0.2,CatBoost,0.5013048722330753,0.5050198556586438,0.0024242908659488638,0.0012906925596196661,0.0009996891021728516,0.027540922164916992
0.13884404134654688,0.273378849029541,digital,120,0.5,0.01,0.25,MC,,,,,,
,,digital,120,0.5,0.01,0.25,LightGBM,0.1389387643294093,0.1440778069871004,9.472298286242187e-05,0.005233765640553528,0.0,0.03755760192871094
,,digital,120,0.5,0.01,0.25,XGBoost,0.13446509838104248,0.14387878959010067,0.0043789429655043954,0.005034748243553794,0.0015022754669189453,0.02655625343322754
,,digital,120,0.5,0.01,0.25,CatBoost,0.13281821358441245,0.1369137171369131,0.0060258277621344225,0.0019303242096337658,0.0010025501251220703,0.027540922164916992
0.8354725815693229,0.26471948623657227,digital,80,2.0,0.05,0.15,MC,,,,,,
,,digital,80,2.0,0.05,0.15,LightGBM,0.8304988804574926,0.8322694571094754,0.004973701111830264,0.003203124459847495,0.0,0.033186912536621094
,,digital,80,2.0,0.05,0.15,XGBoost,0.8319379091262817,0.8328123595602971,0.0035346724430411758,0.0026602220090258255,0.0010008811950683594,0.026526451110839844
,,digital,80,2.0,0.05,0.15,CatBoost,0.8353471964068429,0.8326313920766901,0.00012538516248006282,0.0028411894926327896,0.0010025501251220703,0.024525165557861328
5.24156218948464,0.2705655097961426,asian,100,1.0,0.03,0.2,MC,,,,,,
,,asian,100,1.0,0.03,0.2,LightGBM,5.204359351542296,5.225556680057403,0.03720283794234369,0.01600550942723622,0.0,0.0372006893157959
,,asian,100,1.0,0.03,0.2,XGBoost,5.0239386558532715,5.304525940001398,0.2176235336313681,0.06296375051675884,0.0,0.028038740158081055
,,asian,100,1.0,0.03,0.2,CatBoost,5.296347575699574,5.257399090694514,0.05478538621493456,0.01583690120987402,0.0,0.027553319931030273
0.19032941682666416,0.26779651641845703,asian,120,0.5,0.01,0.25,MC,,,,,,
,,asian,120,0.5,0.01,0.25,LightGBM,0.2430202057326297,0.1800273974743128,0.05269078890596554,0.010302019352351366,0.0,0.03453516960144043
,,asian,120,0.5,0.01,0.25,XGBoost,0.22109010815620422,0.21145499376931173,0.03076069132954007,0.021125576942647578,0.0010004043579101562,0.028540849685668945
,,asian,120,0.5,0.01,0.25,CatBoost,0.21624321326515825,0.21110662112866915,0.02591379643849409,0.020777204302004998,0.0009999275207519531,0.027051210403442383
22.819655065990325,0.26514554023742676,asian,80,2.0,0.05,0.15,MC,,,,,,
,,asian,80,2.0,0.05,0.15,LightGBM,22.777088721977435,22.773193954697618,0.042566344012890056,0.04646111129270736,0.0010001659393310547,0.029539823532104492
,,asian,80,2.0,0.05,0.15,XGBoost,23.061275482177734,22.933050841011113,0.24162041618740915,0.11339577502078768,0.00099945068359375,0.027026891708374023
,,asian,80,2.0,0.05,0.15,CatBoost,22.652861547466994,22.698936163239384,0.16679351852333113,0.12071890275094077,0.001504659652709961,0.026038646697998047
